name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
HD 158259 b,26,2.17800,1.28228,110.00000,2.09800,2.22000,,0.03374,1.08000,1.21000,5801.89000,0.21233,4.96500,759.18300,1712.31056,10.62325,Confirmed
TOI-1263.01,29,1.02146,1.45950,319.00000,1.25200,,2.72792,0.01888,0.86000,0.81823,5098.00000,-0.38996,7.10200,1143.42109,1618.49524,12.25833,Candidate
HR 858 c,31,5.97386,1.97900,208.70000,2.84300,,4.57456,0.06870,1.20400,1.25800,6354.00000,0.36361,5.14900,512.00000,1309.13372,10.56311,Confirmed
GJ 1132 b,33,1.62893,1.19151,2443.00000,0.76646,1.83705,,0.01570,0.19450,0.22110,3229.00000,-2.32148,8.32200,19.30000,583.76769,9.77820,Confirmed
TOI-1835.01,34,5.64196,1.82458,543.83885,3.08715,,3.98518,0.06010,0.91000,0.78248,5297.00000,-0.36224,6.49200,120.21139,921.60809,9.09017,Candidate
TOI-539.01,39,0.30961,1.55270,257.70647,1.02989,,3.03020,0.00831,0.80000,0.81312,4902.00000,-0.46350,9.22700,4975.26859,2337.56670,6.81839,Candidate
L 98-59 c,40,3.69068,1.38500,1657.00000,1.34600,2.22000,,0.03040,0.27300,0.30300,3415.00000,-1.94769,7.10100,12.80000,520.23622,7.38586,Confirmed
EPIC 212679181.01,41,1.05460,0.82400,658.00000,0.46080,,0.48558,0.02023,0.52987,0.30000,3445.00000,-1.44281,8.58800,133.95928,852.83390,5.98997,Candidate
EPIC 201264302.01,42,0.21220,0.51900,640.55682,,,0.09262,0.00213,,0.18800,3383.50000,-1.94521,10.35700,380.73762,1966.68992,12.46244,Candidate
TOI-540 b,44,1.23915,0.90300,2318.65940,0.48877,,0.67418,0.01223,0.15900,0.18950,3216.00000,-2.46092,8.90000,23.40000,610.40299,8.20605,Confirmed
LP 791-18 b,46,0.94800,1.21200,4200.52890,0.61950,,1.93594,0.00978,0.13900,0.18200,2960.00000,-2.63827,10.64400,24.14000,616.34369,7.66446,Confirmed
LTT 1445 A b,47,5.35876,1.18000,1665.00000,1.39200,2.73000,,0.02200,0.25700,0.26500,3340.00000,-2.04591,6.49600,5.40000,577.92441,14.31414,Confirmed
TOI-864.01,50,0.52067,1.00474,626.63551,0.57082,,0.98847,0.00925,0.38991,0.39861,3474.00000,-1.68089,9.21900,243.50238,1099.47582,7.30785,Candidate
TOI-1449.02,51,2.36918,1.61420,699.31134,1.68404,,3.23679,0.02920,0.59165,0.60438,5780.00000,-0.43497,8.71000,430.83491,1268.05357,7.23508,Candidate
GJ 357 b,55,3.93060,1.20000,955.00000,1.29100,1.84000,,0.03600,0.34200,0.33700,3505.00000,-1.79833,6.47500,12.60000,520.98609,5.51742,Confirmed
TOI-2079.01,56,1.49232,1.21248,550.00000,1.06300,,1.93866,0.01999,0.47851,0.48055,3577.00000,-1.46775,8.61000,85.23706,845.70128,4.62778,Candidate
HD 80653 b,60,0.71957,1.61300,159.64040,1.79760,5.72000,,0.01661,1.18000,1.22000,5959.00000,0.24000,8.01800,6130.00000,2479.56251,6.34937,Confirmed
K2-131 b,61,0.36930,1.69000,755.65360,1.00278,7.90000,,0.00936,0.80300,0.75950,5120.00000,-0.47906,10.05100,4070.00000,2183.51889,11.77173,Confirmed
TOI-494.01,62,1.70188,1.95823,570.00000,1.55100,,4.49336,0.02622,0.83000,0.79783,5006.52000,-0.44334,8.74100,524.18956,1331.77841,7.53920,Candidate
TOI-1730.02,63,2.15552,1.48435,742.00000,1.44500,,2.80722,0.02641,0.52900,0.53224,3691.00000,-1.32451,8.21200,67.90496,798.97881,6.28022,Candidate
TOI-1798.02,68,0.43781,1.46400,261.39360,1.21520,5.60000,,0.01079,0.87000,0.78000,5165.00000,-0.41567,9.23700,3345.44000,2109.36522,5.57365,Confirmed
HD 15337 b,70,4.75598,1.77000,344.00000,2.55360,6.51900,,0.05245,0.82900,0.85500,5131.00000,-0.32606,7.04400,161.73140,1007.33084,5.61570,Confirmed
TOI-1436.01,71,0.86759,1.43024,321.48409,1.38150,,2.63572,0.01674,0.83200,0.74524,5011.22000,-0.50094,9.71900,1125.50618,1612.11808,3.75454,Candidate
TOI-1238.02,72,0.76458,1.34243,380.00000,1.08000,,2.36690,0.01385,0.60667,0.62326,3853.00000,-1.11277,9.18400,401.93333,1246.23052,5.01734,Candidate
K2-85 b,73,0.68456,1.20000,400.00000,0.81840,,1.86811,0.01300,0.67831,0.68000,4427.00000,-0.81171,9.46600,479.00000,1529.89175,5.59697,Confirmed
TOI-1011.01,74,2.47050,1.44861,250.00000,2.19100,,2.69346,0.03504,0.94000,0.94134,5413.68000,-0.16385,7.10900,558.65379,1353.14883,6.56966,Candidate
L 98-59 b,77,2.25311,0.85000,666.00000,0.99200,0.40000,,0.02191,0.27300,0.30300,3415.00000,-1.94769,7.10100,24.70000,612.79638,5.04623,Confirmed
TOI-1235 b,80,3.44471,1.69000,645.00000,2.09400,6.69000,,0.03845,0.63000,0.61900,3997.00000,-1.05404,7.89300,60.30000,773.75186,5.27598,Confirmed
TOI-520.01,85,0.52361,1.48616,82.92594,2.30045,,2.81306,0.01505,1.66000,1.52949,7323.00000,0.78255,8.84500,26745.29452,3559.35843,2.86826,Candidate
K2-147 b,87,0.96194,1.47286,545.00000,0.90240,,2.77044,0.01575,0.56561,0.57315,3672.00000,-1.29243,9.99700,200.10000,1053.93081,3.79615,Confirmed
TOI-1435.01,88,0.68583,1.22125,200.00000,1.16900,,1.98942,0.01453,0.87000,0.82354,5142.00000,-0.36941,8.71400,2023.39137,1866.72288,4.53950,Candidate
K2-91 b,89,1.41955,1.10000,1565.00000,0.94500,,1.36760,0.01640,0.29200,0.28400,3622.00000,-1.84126,10.57100,46.00000,753.04851,3.94617,Confirmed
TOI-2211.01,90,3.09269,1.56100,349.19390,2.05860,,3.05776,0.04011,0.90000,0.83400,5253.00000,-0.32094,8.08800,296.13000,1155.31004,4.51910,Confirmed
EPIC 206298289.01,91,0.43483,0.96000,762.00000,0.89520,,0.83957,0.00523,,0.33300,3719.00000,-1.36566,11.39500,296.30128,1752.73226,6.80892,Candidate
CoRoT-7 b,92,0.85359,1.68135,350.00000,1.05900,4.07661,,0.01702,0.82000,0.83000,5275.00000,-0.28938,9.80600,1773.80162,1806.28444,4.42840,Confirmed
TOI-863.01,93,0.52513,1.43814,277.19208,1.04474,,2.66047,0.01274,1.00000,0.85030,5655.00000,-0.17643,8.92000,4105.27098,2227.89816,6.65006,Candidate
K2-291 b,94,2.22518,1.58900,284.00000,1.71900,6.49000,,0.03261,0.93400,0.89900,5520.00000,-0.16622,8.35300,633.00000,1400.64953,4.37053,Confirmed
Kepler-42 c,95,0.45329,0.73000,1560.00000,0.44450,,0.31457,0.00600,0.13000,0.17000,3068.00000,-2.62000,11.46500,82.12500,795.21443,3.71897,Confirmed
GJ 9827 c,96,3.64810,1.13000,361.00000,1.82640,1.86000,,0.03950,0.60600,0.60200,4236.00000,-0.94152,7.19300,73.00000,814.48170,4.30293,Confirmed
TOI-1748.01,98,1.83186,1.52990,403.12197,1.42112,,2.95506,0.02714,0.79500,0.76823,4875.00000,-0.52243,9.15600,407.62050,1250.61572,4.05545,Candidate
Kepler-78 b,99,0.35501,1.20100,217.00000,0.81400,1.68000,,0.00901,0.77900,0.74750,5058.00000,-0.49785,9.58600,4070.00000,2201.58259,4.30047,Confirmed
TOI-1757.01,100,2.12569,1.67801,570.68588,1.46497,,3.45700,0.02863,0.69300,0.70716,4428.00000,-0.76144,9.60200,211.28027,1061.14471,3.82105,Candidate
EPIC 220674823 b,101,0.57131,1.67600,241.00000,1.54000,7.80000,,0.01314,0.91300,0.99000,5578.00000,-0.11919,10.34400,4656.00000,2267.06878,3.12732,Confirmed
TRAPPIST-1 b,103,1.51083,1.11600,7378.00000,0.60100,1.37400,,0.01154,0.08980,0.11920,2566.00000,-3.25727,10.29600,4.15300,397.31913,3.85863,Confirmed
K2-137 b,104,0.17972,0.64000,409.35735,0.62880,,0.19629,0.00580,0.46300,0.29000,3697.00000,-1.48388,10.88200,975.58253,1555.52101,3.84726,Confirmed
HD 21749 c,106,7.78993,0.89200,194.00000,2.51500,,0.64520,0.06950,0.73000,0.69500,4640.00000,-0.68620,5.37500,144.76500,711.24213,3.37876,Confirmed
TOI-1746.01,107,2.52533,1.47615,1258.57186,0.98983,,2.78096,0.02681,0.40324,0.41047,3340.00000,-1.72377,9.50100,26.27543,630.15492,3.53385,Candidate
K2-216 b,109,2.17480,1.75000,560.00000,1.84000,8.00000,,0.02800,0.70000,0.72000,4503.00000,-0.72125,9.72100,248.00000,1098.16693,3.72591,Confirmed
LHS 1140 c,110,3.77794,1.27200,2900.00000,1.13000,1.91000,,0.02700,0.18440,0.21590,3096.00000,-2.42022,8.82100,5.30000,420.55519,2.95283,Confirmed
WASP-47 e,111,0.78961,1.83000,258.00000,1.89900,9.00000,,0.01673,1.05800,1.15600,5565.00000,0.03167,10.19200,4895.00000,2191.43911,3.42869,Confirmed
EPIC 211357309.01,113,0.46395,0.53000,326.00000,0.98880,,0.09985,0.00376,0.48991,0.27200,3641.50000,-1.48554,9.88500,396.03858,1930.92199,6.96902,Candidate
K2-229 b,116,0.58422,1.00000,162.50000,1.50000,2.49000,,0.01310,0.87000,0.79000,5315.00000,-0.38869,9.05000,2381.04393,1944.24831,3.23177,Confirmed
K2-36 b,117,1.42261,1.43000,345.00000,1.12320,4.30000,,0.02288,0.79000,0.71800,4916.00000,-0.57000,9.45400,519.00000,1325.35392,3.33006,Confirmed
TOI-253.01,118,3.51041,1.32865,308.82860,2.00000,,2.32581,0.03875,0.63000,0.63937,4037.00000,-1.00956,7.33800,65.14055,790.72001,3.40063,Candidate
Kepler-10 b,119,0.83749,1.47000,191.90000,1.81100,3.26000,,0.01685,0.91000,1.06500,5708.00000,0.05467,9.49600,3820.00000,2212.72491,3.45829,Confirmed
TOI-2023.01,120,11.19005,1.66082,567.79899,2.97415,,3.39709,0.09164,0.82000,0.69599,4958.00000,-0.57887,7.10500,31.40008,658.85913,3.32940,Candidate
TOI-270 b,121,3.36015,1.20600,972.95890,1.38700,1.58000,,0.03197,0.38600,0.37800,3506.00000,-1.71220,8.25100,19.92610,580.94974,3.55717,Confirmed
K2-199 b,122,3.22540,1.73000,726.00000,2.01700,6.90000,,0.03820,0.71100,0.68200,4491.00000,-0.73283,9.62500,116.20000,933.94370,3.60558,Confirmed
K2-265 b,124,2.36902,1.70825,287.00000,2.30880,7.34184,,0.03359,0.91500,0.92000,5481.00000,-0.19682,9.25900,563.32625,1355.96936,2.77156,Confirmed
EPIC 211428897.01,125,1.61089,0.82000,696.00000,1.20480,,0.47719,0.01265,0.40228,0.29900,3511.00000,-1.63886,9.62400,58.27243,963.25283,5.04758,Candidate
TOI-801.01,126,0.77570,0.86202,38.70876,1.28156,,0.57080,0.01770,1.23000,1.35609,6283.39000,0.41205,6.74300,8240.80355,2651.87023,2.85626,Candidate
TOI-1846.01,127,3.93067,1.79020,1637.19843,1.43051,,3.85852,0.03604,0.40435,0.41145,3512.00000,-1.63445,9.59600,17.85987,572.17579,3.06292,Candidate
K2-233 b,128,2.46750,1.34300,300.72807,1.98800,,2.36860,0.03308,0.79000,0.71000,5033.00000,-0.52288,8.37500,273.00000,1132.54933,3.45286,Confirmed
L 98-59 d,130,7.45072,1.52100,1542.00000,0.84000,1.94000,,0.04860,0.27300,0.30300,3415.00000,-1.94769,7.10100,5.01000,411.45206,2.77384,Confirmed
TOI-2104.01,132,3.27231,1.47538,464.00000,1.81500,,2.77849,0.04004,0.80000,0.72376,4907.00000,-0.56286,8.65200,170.63366,1005.94922,3.80047,Candidate
Kepler-21 b,133,2.78582,1.63900,62.17000,3.48340,7.50000,,0.04340,1.40800,1.90200,6305.00000,0.71500,6.94500,2749.00000,2016.34579,2.81700,Confirmed
TOI-797.01,136,1.80079,1.19040,622.54821,1.18631,,1.81510,0.02255,0.47147,0.47370,3607.00000,-1.46571,9.55700,67.32137,797.25659,2.90598,Candidate
TOI-2278.01,139,1.46633,1.88725,920.00000,0.44700,,4.22034,0.01696,0.30271,0.32274,3412.00000,-1.89557,10.09500,44.21343,717.70906,2.75227,Candidate
EPIC 201606542.01,144,0.44437,1.22000,186.05040,,,1.98213,0.03165,,0.82000,5540.00000,-0.24364,10.19100,569.61891,1359.74033,1.16067,Candidate
EPIC 201650711.01,148,0.25967,0.77000,104.66992,,,0.38085,0.00995,,0.69000,4340.00000,-0.81765,9.30900,1537.93173,1742.98698,1.99504,Candidate
TOI-1080.01,150,3.96525,1.23051,3680.75444,1.01126,,2.04170,0.02711,0.16899,0.19999,3227.00000,-2.40810,10.17000,5.31811,422.66794,1.94588,Candidate
K2-122 b,151,2.21930,1.16000,432.00000,1.23600,,1.65436,0.03730,0.63000,0.59000,4009.00000,-1.10237,9.27500,79.90000,764.03449,1.80427,Confirmed
TOI-2077.01,153,6.11558,1.55415,322.00000,1.94100,,3.03502,0.06342,0.91000,0.84591,5284.00000,-0.29881,8.63100,124.93987,930.54020,2.05937,Candidate
K2-201 b,154,1.05979,1.40007,251.40000,1.74960,,2.54200,0.02004,0.95605,0.87816,5507.00000,-0.27594,10.19800,1318.96101,1677.32750,2.24384,Confirmed
Kepler-732 c,155,0.89304,1.27000,741.70000,1.10420,,2.15419,0.01430,0.49000,0.46000,3631.00000,-1.37500,11.72100,199.84600,1054.73136,2.37312,Confirmed
TOI-2262.01,156,1.49374,1.61951,160.00000,2.04400,,3.25490,0.02755,1.25000,1.27881,6328.00000,0.37338,9.67200,3113.05669,2079.01028,2.15198,Candidate
K2-35 b,160,2.39996,1.32000,404.00000,1.99200,,2.30015,0.03100,0.70197,0.61957,4402.71000,-0.80318,11.42300,211.00000,995.59804,1.03157,Confirmed
LHS 1815 b,163,3.81433,1.08800,457.79090,1.37940,1.58000,,0.04040,0.50200,0.50100,3643.00000,-1.38722,7.99300,26.37120,623.10925,2.22391,Confirmed
TOI-1621.01,164,6.45362,1.35386,200.00000,3.58200,,2.40121,0.07990,1.63400,1.01722,7257.00000,0.41255,9.11400,404.97878,1248.58452,1.28339,Candidate
K2-156 b,165,0.81314,1.10000,290.00000,1.30000,,1.36760,0.01490,0.66000,0.62000,4460.00000,-0.83803,10.39100,654.02969,1407.53513,2.27736,Confirmed
TOI-787.01,166,2.12632,1.53607,150.00000,2.17000,,2.97530,0.03654,1.44000,1.31556,6742.00000,0.50807,8.79400,2412.38007,1950.61388,2.55424,Candidate
EPIC 201239401.01,168,0.90565,1.57000,624.44326,,,3.08776,0.01109,,0.57600,3710.00000,-1.36987,11.73500,,1201.24823,2.49440,Candidate
TOI-2267.01,169,3.49504,1.27344,2004.42690,1.03113,,2.16411,0.02692,0.21305,0.24274,3022.00000,-2.35383,9.45900,6.10992,437.59146,1.85231,Candidate
Kepler-93 b,170,4.72674,1.47800,273.10000,2.88980,4.66000,,0.05343,0.91100,0.91900,5669.00000,-0.10565,8.37000,275.00000,1133.06491,2.73020,Confirmed
TOI-713.02,172,1.87152,1.06182,255.78913,1.02135,,1.20494,0.02601,0.67000,0.65107,4316.70000,-0.87744,8.88300,196.05386,1041.48670,2.36857,Candidate
K2-83 b,174,2.74697,1.24400,920.00000,1.66400,,2.07985,0.03014,0.48400,0.42400,3910.00000,-1.20362,10.76500,41.50000,801.83176,2.25257,Confirmed
TOI-2069.01,175,5.92142,1.04704,140.42859,2.46062,,1.14591,0.06185,0.90000,0.82313,5268.00000,-0.32779,6.78600,122.91385,926.74463,2.08915,Candidate
TOI-714.01,176,4.32393,1.50089,977.22249,1.57831,,2.86054,0.04041,0.47089,0.47314,3731.00000,-1.40802,9.46800,23.93190,615.60786,2.25110,Candidate
Kepler-808 b,177,0.63133,1.46000,434.50000,1.10760,,2.72950,0.01314,0.76000,0.71000,4653.00000,-0.68370,11.87900,1428.30000,1638.08787,2.10736,Confirmed
Kepler-994 b,178,1.15117,1.60000,605.90000,1.18810,,3.18859,0.01770,0.56000,0.54000,3934.00000,-1.13919,11.45300,243.98400,1085.86478,2.10044,Confirmed
TOI-2103.01,180,2.66207,1.21722,220.99942,1.72351,,1.96597,0.03490,0.80000,0.79972,4884.00000,-0.48433,8.92400,269.21692,1127.41931,2.02519,Candidate
EPIC 201111557.01,181,2.30183,1.12000,22680.00000,1.90080,,1.45884,0.03072,0.73000,0.76260,4616.52000,-0.62345,9.22000,252.16844,1109.13028,188.02950,Candidate
TOI-2104.02,183,5.90437,1.36668,351.00000,2.65300,,2.43996,0.05935,0.80000,0.72376,4907.00000,-0.56286,8.65200,77.67948,826.29753,1.84762,Candidate
K2-89 b,185,1.09603,0.61500,346.00000,0.89500,,0.17017,0.01462,0.34700,0.31800,3691.00000,-1.32653,10.10600,78.00000,1072.63927,2.35992,Confirmed
TOI-802.01,186,3.69392,0.65014,74.80719,1.72642,,0.20766,0.04498,0.89000,0.74982,5235.78000,-0.41947,6.27500,188.11007,1030.77266,1.78219,Candidate
Kepler-42 b,188,1.21377,0.78000,1821.00000,0.55320,,0.39888,0.01160,0.13000,0.17000,3068.00000,-2.62000,11.46500,22.38800,571.91421,1.71965,Confirmed
EPIC 203099398.01,189,1.83916,0.62000,151.50000,1.50720,,0.17518,0.01853,,0.48000,3930.00000,-1.14088,7.63700,,1060.30825,2.90501,Candidate
TOI-2269.02,192,2.84114,1.41770,530.00000,1.17400,,2.59660,0.03205,0.54389,0.54848,3872.00000,-1.21524,9.92800,59.32262,772.44036,1.76035,Candidate
K2-211 b,194,0.66956,1.33163,222.00000,1.29120,,2.33465,0.01419,0.88191,0.81573,5221.00000,-0.38569,11.10400,2043.36151,1871.31191,1.65214,Confirmed
K2-223 b,199,0.50557,0.89000,100.00000,0.90000,,0.64003,0.01270,1.06000,1.00000,5859.00000,-0.03543,9.83500,5714.29370,2419.91726,1.69830,Confirmed
K2-58 c,200,2.53726,1.62000,375.00000,1.99600,,3.25656,0.03500,0.89000,0.86000,5413.00000,-0.41226,10.21500,462.00000,1173.43991,1.81196,Confirmed
TOI-201.02,201,5.84924,1.18947,109.00000,3.25700,,1.81000,0.06952,1.31000,1.33031,6461.80000,0.44402,7.84600,575.20632,1363.06257,1.67974,Candidate
EPIC 201785059.01,202,1.39534,0.76000,619.22683,,,0.36342,0.01016,0.41901,0.28000,3411.50000,-1.78037,10.85400,67.48399,991.04460,2.81244,Candidate
K2-257 b,204,1.60588,0.83000,340.00000,1.30000,,0.49837,0.02160,0.52000,0.50000,3725.00000,-1.38099,9.66100,89.14613,855.23507,1.71834,Confirmed
K2-151 b,205,3.83548,1.49000,983.00000,1.54080,,2.82540,0.03730,0.47000,0.45000,3695.00000,-1.55284,10.11700,20.80000,589.51582,1.48903,Confirmed
TRAPPIST-1 c,207,2.42194,1.09700,7123.00000,0.70050,1.30800,,0.01580,0.08980,0.11920,2566.00000,-3.25727,10.29600,2.21400,339.55790,1.75399,Confirmed
EPIC 206312951.01,208,1.53402,1.13000,396.86586,,,1.50607,0.02090,0.51750,0.52003,3698.00000,-1.34139,11.32800,104.31600,889.50340,1.02892,Candidate
K2-316 b,209,1.13300,1.33000,957.00000,,,2.32981,0.01470,0.40800,0.37900,3436.00000,-1.82964,11.91100,68.50548,800.73942,1.62648,Confirmed
TOI-2287.01,211,11.81207,1.74813,189.02756,3.33242,,3.70583,0.10541,1.12000,1.20105,6037.00000,0.23710,7.72600,155.34814,982.62179,1.76440,Candidate
K2-187 b,212,0.77401,1.20000,237.00000,1.57920,,1.86811,0.01640,0.96700,0.83000,5438.00000,-0.20960,11.19600,2294.62808,1926.36223,1.68357,Confirmed
Kepler-1019 b,216,1.41123,1.46000,395.70000,1.39120,,2.72950,0.02210,0.70000,0.67000,4433.00000,-0.80636,11.00300,330.24900,1176.99262,1.70321,Confirmed
TOI-797.02,217,4.14001,1.32304,740.34540,1.03092,,2.30915,0.03927,0.47147,0.47370,3607.00000,-1.46571,9.55700,22.18725,604.06791,1.61419,Candidate
Kepler-446 b,223,1.56541,1.50000,2754.60000,0.64560,,2.85767,0.01820,0.22000,0.24000,3359.00000,-2.24766,12.82700,16.21300,565.72997,1.18938,Confirmed
EPIC 211428897.02,225,2.17801,0.67000,453.00000,1.27680,,0.23132,0.01655,0.40228,0.29900,3511.00000,-1.63886,9.62400,38.97747,842.34016,2.42488,Candidate
Kepler-617 b,226,1.68270,1.32000,703.80000,1.38000,,2.30015,0.02190,0.51000,0.48000,3712.00000,-1.30507,11.57300,100.29500,887.29967,1.61296,Confirmed
K2-165 b,229,2.35499,1.27444,211.27588,,,2.16698,0.03262,0.83485,0.80383,5185.00000,-0.36982,9.53600,401.09119,1245.57723,1.64434,Confirmed
EPIC 206192335.01,230,3.59922,1.63000,360.00000,1.89600,,3.29076,0.04628,,0.80900,5459.00000,-0.26276,10.25000,205.05023,1112.22885,1.52643,Candidate
TOI-873.01,231,5.93120,1.79798,1021.92538,2.03145,,3.88703,0.05150,0.51785,0.52040,3694.00000,-1.34264,9.95100,17.13236,566.25776,1.47109,Candidate
K2-138 b,232,2.35309,1.51000,257.31846,2.01000,3.10000,,0.03385,0.93500,0.86300,5356.30000,-0.28654,10.30500,486.00000,1282.76039,1.42733,Confirmed
K2-65 b,233,12.64750,1.58000,391.00000,3.43000,,3.12122,0.10140,0.87000,0.84000,5213.00000,-0.32800,8.34400,45.00000,723.67055,1.57872,Confirmed
K2-221 b,236,2.39909,1.67890,312.00000,2.50320,,3.46013,0.03520,1.01084,0.94760,5716.00000,-0.06367,10.85200,697.05187,1430.13209,1.51154,Confirmed
K2-165 c,237,4.38274,1.55409,314.17092,,,3.03482,0.04935,0.83485,0.80383,5185.00000,-0.36982,9.53600,175.21345,1012.63221,1.62538,Confirmed
Kepler-658 b,238,1.28708,1.63000,729.40000,1.50860,,3.29076,0.01880,0.63000,0.60000,4103.00000,-0.89922,12.62700,223.74500,1209.69519,1.72359,Confirmed
TOI-805.01,239,4.11776,1.27615,1948.14058,1.21268,,2.17192,0.03189,0.25524,0.28113,3366.00000,-2.03904,10.83800,8.98604,481.89446,1.20229,Candidate
K2-133 b,244,3.07133,1.34000,710.00000,1.22000,,2.35963,0.03194,0.46100,0.45500,3655.00000,-1.47886,10.27900,32.54394,664.77920,1.44643,Confirmed
Kepler-98 b,245,1.54168,1.99000,296.50000,1.98740,3.55000,,0.02614,0.99000,1.11000,5539.00000,-0.13324,11.25300,1107.38900,1594.39927,1.48888,Confirmed
Kepler-205 b,247,2.75564,1.51000,546.40000,1.94800,,2.89009,0.03200,0.59200,0.54600,4321.00000,-0.95618,10.83300,102.56200,897.30459,1.49183,Confirmed
K2-157 b,248,0.36526,1.00000,108.53587,,,0.97185,0.00979,0.93951,0.88000,5456.00000,-0.21020,10.98000,6424.63705,2491.85076,1.23269,Confirmed
EPIC 201923289.01,249,0.78202,1.58000,237.46363,,,3.12122,0.01622,,0.94000,5144.00000,-0.40485,11.87000,,1731.20654,1.11952,Candidate
Kepler-80 f,250,0.98679,1.21000,450.00000,1.18790,,1.92451,0.01750,0.73000,0.67800,4540.00000,-0.76955,12.25300,750.96400,1350.99379,1.36453,Confirmed
K2-130 b,251,2.49412,1.25000,304.00000,1.70400,,2.09691,0.03200,0.69563,0.74426,4356.47000,-0.79892,9.85800,136.40000,982.32430,1.57126,Confirmed
K2-189 b,253,2.58831,1.52000,300.00000,2.22000,,2.92266,0.03610,0.94000,0.87000,5519.00000,-0.23883,10.58900,442.74697,1276.72916,1.39702,Confirmed
Kepler-1228 b,254,0.57737,1.54000,400.40000,1.09630,,2.98825,0.01186,0.78000,0.74000,5063.00000,-0.55460,12.79900,1598.66400,1857.23788,1.40001,Confirmed
EPIC 220554210 c,255,0.70531,1.60000,262.00000,1.70400,,3.18859,0.01519,0.94000,1.00000,5499.00000,-0.21463,12.00200,2643.81873,1995.80358,1.33678,Confirmed
KOI-2480.01,256,0.66683,1.79613,511.60000,0.78470,,3.88024,0.01299,0.65799,0.67010,4213.79004,-0.88887,12.87500,765.16788,1463.85837,1.46934,Candidate
K2-155 b,257,6.34200,1.80000,680.00000,2.40960,,3.89445,0.05620,0.65000,0.58000,3919.00000,-1.05046,9.49600,19.90000,641.32286,1.63971,Confirmed
Kepler-908 b,258,1.34060,1.22000,109.80000,1.60850,,1.98213,0.02526,1.11000,1.12000,5973.00000,0.26406,9.99300,3304.10100,2038.72292,1.32346,Confirmed
K2-5 b,259,5.73594,1.91000,1496.00000,2.65400,,4.30707,0.05320,0.61000,0.57000,3930.00000,-1.08341,11.59500,24.10000,646.77252,1.40124,Confirmed
K2-187 c,260,2.87151,1.40000,390.00000,2.37600,,2.54180,0.03920,0.96700,0.83000,5438.00000,-0.20960,11.19600,401.63159,1245.99656,1.33605,Confirmed
Kepler-20 b,261,3.69610,1.77300,396.70000,2.46300,9.70000,,0.04565,0.92900,0.91640,5495.00000,-0.16451,10.87100,331.00000,1184.98264,1.41833,Confirmed
K2-209 b,263,2.08061,0.86850,124.93260,,,0.58633,0.02891,0.74479,0.71237,4720.00000,-0.58815,8.61300,308.81054,1166.76369,1.47209,Confirmed
EPIC 211731298.01,264,1.99042,1.80000,401.07836,,,3.89445,0.02529,0.88200,0.82400,5140.31000,-0.38862,11.22800,485.33245,1399.33191,1.78479,Candidate
